Id,genome_size,contigs,n50,ST,Insertion,ompK36,ompK35,Source,Source_edited,Source_summarised,Host,Country,Year,resistance_genes,plasmids,Organism,Strain
GCF_000694195,5874094,11,4017735,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aac(6')-Ib,aadA2,aac(6')-Ib,aac(6')-Ib,aadA1,strB,strA,aph(3')-Ia,fosA,mph(A),sul1,sul2,dfrA14,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,blaSHV-12,blaTEM-1A,blaKPC-3,blaSHV-11,blaOXA-9,blaTEM-1A,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 64,CHS 64
GCF_000694215,5751544,12,3077497,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA24,aadA2,strA,strB,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul2,sul1,dfrA14,aac(6')Ib-cr,oqxA,oqxB,blaTEM-1A,blaSHV-12,blaOXA-9,blaKPC-3,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K)",Klebsiella pneumoniae CHS 65,CHS 65
GCF_000694235,5429946,10,4272407,14,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"aadB,aac(6')Ib-cr,strB,strA,fosA,sul2,dfrA14,aac(6')Ib-cr,oqxA,oqxB,QnrS1,QnrB66,tet(A),blaSHV-30,blaOXA-1,blaTEM-1B,blaCTX-M-15,catB3","IncL/M(pMU407),IncFII(K)",Klebsiella pneumoniae CHS 66,CHS 66
GCF_000694255,5819712,11,3363053,258,,1,0,Blood/Urine,blood/urine,other,Homo sapiens,USA,2013,"strB,aac(6')-Ib,aac(6')-Ib,aac(6')-Ib,aadA1,aac(6')-Ib,aph(3')-Ia,strA,fosA,mph(A),sul1,sul2,dfrA14,aac(6')Ib-cr,aac(6')Ib-cr,aac(6')Ib-cr,aac(6')Ib-cr,oqxA,oqxB,blaTEM-1A,blaOXA-9,blaOXA-9,blaSHV-11,blaKPC-3,blaTEM-1A,blaSHV-12,catA1","IncFII(K),ColRNAI,IncFIA(HI1),IncX3,IncFIB(K),ColpVC",Klebsiella pneumoniae CHS 67,CHS 67
GCF_000694275,5965328,7,3558523,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"strA,aac(6')-Ib,strB,aac(6')-Ib,aadA24,aph(3')-Ia,fosA,mph(A),sul2,sul1,dfrA14,dfrA12,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaSHV-12,blaKPC-3,catA1","IncFII(K),ColRNAI,IncFIA(HI1),IncX3,IncFIB(K),ColpVC",Klebsiella pneumoniae CHS 70,CHS 70
GCF_000694295,5884050,9,3546864,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA2,aadA24,strA,strB,aph(3')-Ia,fosA,mph(A),sul1,sul2,dfrA14,oqxA,oqxB,blaOXA-9,blaTEM-1A,blaKPC-3,blaSHV-12,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 71,CHS 71
GCF_000694315,5721001,5,5584543,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA1,aadA2,aac(6')-Ib,strA,strB,fosA,sul1,sul2,dfrA14,aac(6')Ib-cr,oqxA,oqxB,blaSHV-12,blaOXA-9,blaSHV-12,blaTEM-1A,blaKPC-3","IncFIA(HI1),IncX3,ColRNAI",Klebsiella pneumoniae CHS 72,CHS 72
GCF_000694335,5879178,8,3535756,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA2,aadA24,aac(6')-Ib,strA,strB,aph(3')-Ia,fosA,mph(A),sul1,sul2,dfrA14,aac(6')Ib-cr,oqxA,oqxB,blaOXA-9,blaSHV-12,blaTEM-1A,blaSHV-12,blaKPC-3,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 73,CHS 73
GCF_000694355,5936104,20,1297815,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aacA4,aac(6')-Ib,strA,strB,aph(3')-Ia,aadA2,aadA1,aac(6')-Ib,aac(6')-Ib,fosA,mph(A),sul2,sul1,dfrA14,dfrA12,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,aac(6')Ib-cr,blaLEN12,blaTEM-1A,blaKPC-3,blaSHV-12,blaOXA-9,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 74,CHS 74
GCF_000694375,5901544,14,5604515,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"strA,strB,aac(6')-Ib,strB,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,blaSHV-12,blaKPC-3,blaTEM-1A,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 75,CHS 75
GCF_000694395,5933514,5,3541108,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aph(3')-Ia,aadA2,aac(6')-Ib,aadA1,strB,strA,aac(6')-Ib,aac(6')-Ib,fosA,mph(A),sul1,sul2,dfrA14,dfrA12,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,aac(6')Ib-cr,blaKPC-3,blaSHV-11,blaOXA-9,blaTEM-1A,blaSHV-12,catA1","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 76,CHS 76
GCF_000694415,5913958,5,5576026,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA24,strA,strB,aadA2,aac(6')-Ib,fosA,sul2,sul1,dfrA14,oqxA,oqxB,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaKPC-3","IncFIA(HI1),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae CHS 80,CHS 80
GCF_000694435,5772276,10,3613858,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA2,aac(6')-Ib,aac(6')-Ib,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,aac(6')Ib-cr,aac(6')Ib-cr,oqxA,oqxB,blaSHV-11,blaSHV-12,blaTEM-1A,blaOXA-9,blaKPC-2,catA1","IncFIB(pQil),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae MGH 51,MGH 51
GCF_000694455,5515917,22,758516,70,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaSHV-27",,Klebsiella pneumoniae MGH 52,MGH 52
GCF_000694475,5714481,8,4816800,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA1,aac(6')-Ib,aac(3)-IId,aadA2,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaSHV-11,blaTEM-1A,blaTEM-1B,blaOXA-9,blaSHV-12,blaCTX-M-15,blaCTX-M-15,blaTEM-1B","IncFII(pRSB107),IncFIA,IncI1,IncFIB(AP001918),IncN",Klebsiella pneumoniae MGH 59,MGH 59
GCF_000694495,5513012,12,2992073,17,,1,1,Sputum,sputum,sputum,Homo sapiens,USA,2013,"fosA,sul1,oqxA,oqxB,tet(D)","IncR,IncFIB(K),IncFII(K)",Klebsiella pneumoniae MGH 60,MGH 60
GCF_000694515,5407649,4,5120217,35,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaSHV-33","IncFIB(pKPHS1),IncFIB(K)",Klebsiella pneumoniae MGH 64,MGH 64
GCF_000694535,5884979,12,3073865,15,,1,0,Bile (fluid),bile (fluid),other,Homo sapiens,USA,2013,"ARR-2,aac(6')-IIc,aadA1,aadA1,fosA,ere(A),sul2,sul1,sul1,dfrA14,oqxA,oqxB,QnrB4,tet(A),tet(D),blaCTX-M-15,blaSHV-5,blaSHV-5,blaCTX-M-15,blaOXA-10,floR,cmlA1","IncR,IncFII(K),IncFIB(pB171),IncA/C2,IncHI1B,IncFIB(K),ColpVC",Klebsiella pneumoniae MGH 65,MGH 65
GCF_000694555,5053621,6,875410,29,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,blaSHV-83,,Klebsiella pneumoniae MGH 66,MGH 66
GCF_000694575,5699116,32,842245,258,,1,0,Pleural tissue,pleural tissue,other,Homo sapiens,USA,2013,"aac(6')-Ib,aph(3')-Ia,aadA2,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaOXA-9,blaSHV-11,blaTEM-1A,blaKPC-2,catA1","IncFIB(pQil),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae MGH 67,MGH-67
GCF_000694595,5521224,5,3513863,-,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaLEN16","IncQ2,IncFIB(pKPHS1)",Klebsiella pneumoniae MGH 68,MGH-68
GCF_000694615,5776546,11,3839600,11,,1,0,Sputum,sputum,sputum,Homo sapiens,USA,2013,"aac(6')-Ib,strA,strB,fosA,mph(A),sul2,dfrA14,QnrB58,oqxA,oqxB,aac(6')Ib-cr,tet(A),blaSHV-11,blaOXA-1,blaCTX-M-15,blaNDM-1,catB3,catA2","IncFII(pKPX1),IncR,IncFIB(K),IncFII(K)",Klebsiella pneumoniae MGH 69,MGH-69
GCF_000694635,5691956,11,3070665,20,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"strA,strB,fosA,sul2,oqxA,oqxB,tet(D),blaSHV-83,blaTEM-1B,catA1","IncR,IncFIB(K)",Klebsiella pneumoniae MGH 70,MGH-70
GCF_000694655,5630033,14,2908196,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"ARR-2,aadA1,aadA2,aadA1,fosA,sul1,sul1,sul2,sul1,dfrA14,oqxA,oqxB,blaOXA-10,blaTEM-1A,blaOXA-9,blaSHV-12,blaKPC-2,cmlA1,floR","IncA/C2,IncFII,IncFIB(K),IncX3,ColRNAI",Klebsiella pneumoniae MGH 71,MGH-71
GCF_000694675,5508939,11,3230809,37,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"strB,aac(3)-IId,strA,fosA,sul2,oqxA,oqxB,tet(A),tet(A),blaSHV-11,blaTEM-1A,floR,floR,floR","IncFIB(K),IncHI1B",Klebsiella pneumoniae MGH 72,MGH-72
GCF_000694695,5505715,6,3279219,258,,1,0,Wound - deep sinus,wound,other,Homo sapiens,USA,2013,"aadA24,aac(6')-Ib,aadA1,aac(6')-Ib,fosA,oqxA,oqxB,aac(6')Ib-cr,QnrB19,aac(6')Ib-cr,blaKPC-3,blaSHV-11,blaSHV-12,blaTEM-1A,blaOXA-9","IncX3,repA,ColRNAI",Klebsiella pneumoniae MGH 73,MGH-73
GCF_000694715,5588955,16,4227848,76,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaSHV-1","IncFII,IncFIB(K),FIA(pBK30683)",Klebsiella pneumoniae MGH 74,MGH-74
GCF_000694735,5960376,16,1088681,-,,1,1,Bile (fluid),bile (fluid),other,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaLEN1","IncFIA(HI1),IncFIB(K),IncFII(Yp),ColRNAI",Klebsiella pneumoniae MGH 76,MGH-76
GCF_000694755,5764917,12,1687166,258,,1,0,Urine,urine,urine,Homo sapiens,USA,2013,"aadA2,aac(6')Ib-cr,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,blaKPC-2,blaOXA-9,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),IncN",Klebsiella pneumoniae MGH 79,MGH-79
GCF_000694775,5775155,10,3206802,-,,1,1,Urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaLEN24","IncFII(pRSB107),IncFII(K)",Klebsiella pneumoniae MGH 80,MGH-80
GCF_000694795,5758538,11,5462987,258,,1,0,wound,wound,other,Homo sapiens,USA,2013,"aadA1,aac(6')-Ib,strA,strB,aph(3')-Ia,fosA,mph(A),sul2,dfrA14,aac(6')Ib-cr,blaKPC-3,blaSHV-11,blaOXA-9,blaSHV-12,blaTEM-1A","IncFIA(HI1),IncX3,IncFII(Y)",Klebsiella pneumoniae UCI 55,UCI 55
GCF_000694815,5386058,4,5045438,678,,1,1,sputum,sputum,sputum,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaSHV-41",IncFIB(K),Klebsiella pneumoniae UCI 56,UCI 56
GCF_000694835,5439853,7,4687914,258,,1,0,wound,wound,other,Homo sapiens,USA,2013,"aac(6')-Ib,aac(6')-Ib,aadA1,fosA,sul2,dfrA1,aac(6')Ib-cr,aac(6')Ib-cr,oqxA,oqxB,tet(B),blaTEM-1A,blaSHV-11,blaOXA-9,blaTEM-1A,blaTEM-1A,blaKPC-2,blaOXA-9","ColRNAI,IncN,IncB/O/K/Z",Klebsiella pneumoniae UCI 59,UCI 59
GCF_000694855,5637138,15,727728,258,,1,0,urine,urine,urine,Homo sapiens,USA,2013,"aadA2,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaKPC-2,blaTEM-1A,blaOXA-9,blaSHV-12","IncR,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae UCI 61,UCI 61
GCF_000694875,5427428,9,3406211,34,,1,1,urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaSHV-26","IncFIB(K),FII(pBK30683)",Klebsiella pneumoniae UCI 62,UCI 62
GCF_000694895,5583254,12,5035932,258,GD,1,0,wound,wound,other,Homo sapiens,USA,2013,"aac(6')-Ib,aac(6')-Ib,strB,aph(3')-Ia,aac(6')-Ib,strA,fosA,sul2,sul1,dfrA1,aac(6')Ib-cr,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,tet(A),blaSHV-11,blaKPC-2,blaOXA-9,blaTEM-1A,blaOXA-9,blaTEM-1A,blaCMY-2,floR","IncA/C2,IncN,ColRNAI",Klebsiella pneumoniae UCI 63,UCI 63
GCF_000694915,5745637,12,3282568,258,,1,0,sputum,sputum,sputum,Homo sapiens,USA,2013,"aadA24,aac(6')-Ib,strB,strA,fosA,sul2,dfrA14,aac(6')Ib-cr,oqxA,oqxB,blaTEM-1C,blaKPC-3,blaSHV-11,blaOXA-9,catA1","IncI2,IncB/O/K/Z,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae UCI 67,UCI 67
GCF_000694935,5422293,11,3803570,37,,1,1,urine,urine,urine,Homo sapiens,USA,2013,"fosA,oqxA,oqxB,blaSHV-11",IncFIB(K),Klebsiella pneumoniae UCI 68,UCI 68
GCF_000695285,5771436,125,110728,512,GD,1,1,pleural fluid,pleural fluid,other,Homo sapiens,Italy,2011,"aac(6')-Ib,aadA2,aadA2,aadA2,aph(3')-Ia,fosA,mph(A),sul1,sul1,sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaSHV-11,blaSHV-11,blaSHV-11,blaKPC-3,catA1","IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPB-1,KPB-1
GCF_000695305,5814346,135,117311,512,GD,1,1,blood,blood,blood,Homo sapiens,Italy,2011,"aadA2,aadA2,aadA2,aph(3')-Ia,fosA,mph(A),sul1,sul1,sul1,dfrA12,oqxA,oqxB,blaSHV-11,blaSHV-11,blaKPC-3,blaSHV-11,catA1","IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPB-2,KPB-2
GCF_000695935,6132443,6,5241638,34,,1,1,groin,groin,other,,USA,2012,"aadB,aacA4,aac(3)-I,aadB,fosA,msr(E),mph(E),sul1,sul1,sul1,dfrA14,aac(6')Ib-cr,QnrB19,blaKPC-2,blaSHV-129,blaSHV-26,blaFOX-5,blaTEM-1A,blaSHV-12,catA1","IncR,IncFII(K),IncA/C2,IncFIA(HI1),IncL/M(pOXA-48),IncFIB(K),IncN",Klebsiella pneumoniae subsp. pneumoniae,KPNIH27
GCF_000699325,5705450,145,102392,-,,1,1,peri-anal swab culture,perirectal swab,stool,Homo sapiens,USA,2003,"aadA2,fosA,mph(A),sul1,oqxB,oqxA,blaCARB-2,blaSHV-12,blaFOX-5,cmlA1","IncFIA(HI1),IncFII,ColRNAI,IncA/C2,IncFII(Y)",Klebsiella pneumoniae 4541-2,4541-2
GCF_000699345,5580381,90,176051,228,,1,0,peri-anal swab culture,perirectal swab,stool,Homo sapiens,USA,2005,"aadA1,aac(6')-Ib,aadA2,aadB,fosA,sul1,dfrA14,dfrA18,QnrA1,aac(6')Ib-cr,oqxB,oqxA,blaOXA-9,blaCARB-2,blaKPC-2,blaFOX-5,blaSHV-26,cmlA1,catB3","IncFIB(K),IncFII,IncA/C2,IncN,IncFII(Y)",Klebsiella pneumoniae 11227-1,11227-1
GCF_000699405,5563933,65,166765,54,,1,1,peri-anal swab culture,perirectal swab,stool,Homo sapiens,USA,2002,"aadA2,fosA,sul1,dfrA18,oqxB,oqxA,blaCARB-2,blaFOX-5,blaSHV-36,cmlA1","IncA/C2,IncN,ColRNAI",Klebsiella pneumoniae 4006,4006
GCF_000699425,5676944,148,108191,1123,,1,1,peri-anal swab culture,perirectal swab,stool,Homo sapiens,USA,2004,"aadA2,aadB,fosA,msr(E),sul1,dfrA14,dfrA18,QnrS1,QnrA1,oqxB,blaCARB-2,blaFOX-5,blaSHV-11,catB3,cmlA1","Col(MGD2),ColRNAI,IncA/C2,IncFII,IncFIB(K),IncN",Klebsiella pneumoniae 7699,7699
GCF_000706585,5733582,4,3949705,437,,1,1,urine,urine,urine,Homo sapiens,USA,2013,"aadA2,aac(3)-IId,aadA2,aac(6')-Ib,fosA,sul1,sul1,dfrA5,oqxA,oqxB,aac(6')Ib-cr,tet(D),blaKPC-2,blaTEM-1B,blaTEM-1B,blaTEM-1B,blaSHV-11,blaTEM-1A,blaOXA-9","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae UCI 17,UCI 17
GCF_000706605,5822710,13,2335088,258,,1,0,foot culture,foot,other,,,,"aadA1,aac(3)-IVa,aph(4)-Ia,aadA2,aph(3')-Ia,aadA2,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,blaKPC-3,blaSHV-12,blaTEM-1A,blaKPC-3,blaKPC-3,catA1,cmlA1","IncI2,IncR,IncFII(K),ColRNAI,IncFII(Y),IncFIB(K)",Klebsiella pneumoniae BIDMC 10,BIDMC 10
GCF_000707985,5878604,10,3278353,15,,1,1,,,,,,2012,"aadA1,aac(6')-Ib,aadA2,aac(6')Ib-cr,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,tet(A),blaKPC-3,blaSHV-28,blaTEM-1B,blaOXA-1,catB3","FII(pBK30683),IncFIB(K),IncFII(K),FIA(pBK30683)",Klebsiella pneumoniae BIDMC 33B,BIDMC 33B
GCF_000709165,5495790,4,5308043,258,,1,0,,,,,,,"aac(6')-Ib,fosA,aac(6')Ib-cr,oqxA,oqxB,blaKPC-2,blaSHV-11,blaSHV-12","IncX3,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae 160_1080,160_1080
GCF_000709185,5481808,4,5286856,258,GD,1,0,,,,,,,"aadA2,aac(6')-Ib,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,blaKPC-2,blaSHV-12,blaSHV-11","IncX3,IncR,IncFII(K),ColRNAI",Klebsiella pneumoniae VAKPC278,VAKPC278
GCF_000709205,5763973,5,5367237,258,,0,0,,,,,,,"aadA2,aadA1,aadA2,aac(3)-IVa,aph(4)-Ia,aph(3')-Ia,aac(6')-Ib,aac(6')-Ib,aac(6')-Ib,aadA1,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,blaSHV-11,blaKPC-3,blaSHV-12,blaOXA-9,blaTEM-1A,cmlA1","IncI2,IncFII,IncR,IncFIB(K),IncFII(K)",Klebsiella pneumoniae UHKPC45,UHKPC45
GCF_000709225,5541575,4,5321843,258,GD,1,0,,,,,,,"aac(6')-Ib,aadA2,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,blaSHV-11,blaSHV-12,catA1","IncX3,IncR,IncFII(K),ColRNAI",Klebsiella pneumoniae UHKPC 52,UHKPC 52
GCF_000709245,5660929,8,3375812,258,GD,1,0,blood,blood,blood,,USA,2008,"aadA2,aac(6')-Ib,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,aac(6')Ib-cr,blaKPC-2,blaOXA-9,blaTEM-1A,blaSHV-12,blaSHV-11,catA1","IncX3,IncR,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae UHKPC05,UHKPC05
GCF_000710075,5432440,133,105586,37,,1,1,bile,bile,other,Homo sapiens,China,2012,"strA,strB,fosA,sul2,dfrA14,oqxA,oqxB,QnrS1,tet(D),blaLEN12,blaLEN9,catA2","IncR,ColRNAI,IncFIB(K),FIA(pBK30683)",Klebsiella pneumoniae,5422
GCF_000710095,5433764,85,299357,152,,1,1,clean-catch urine sample,urine,urine,,USA,2004,"fosA,oqxA,oqxB,blaSHV-1","IncFIB(K),IncFII(Yp),FIA(pBK30683)",Klebsiella pneumoniae,Top52 #1721
GCF_000710805,5413054,238,48783,65,,1,1,tongue,tongue,other,Homo sapiens,Malaysia,,"fosA,oqxA,oqxB,blaSHV-11","IncFIB(K),IncHI1B",Klebsiella pneumoniae T2-1-2,T2-1-2
GCF_000710855,5398530,166,64036,65,,1,1,tongue,tongue,other,Homo sapiens,Malaysia,,"fosA,oqxB,oqxA,blaSHV-11","IncFIB(K),IncHI1B",Klebsiella pneumoniae T2-1-1,T2-1-1
GCF_000714675,5734564,4,5396164,258,,1,0,throat/groin,throat/groin,other,Homo sapiens,USA,2012,"aac(3)-IVa,aph(4)-Ia,aac(6')-Ib,aadA2,aadA2,aadA1,aac(6')-Ib,aadA2,fosA,mph(A),sul3,sul1,sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,aac(6')Ib-cr,blaSHV-11,blaKPC-2,blaSHV-12,blaOXA-9,blaTEM-1A,catA1,cmlA1","IncX3,IncR,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH24
GCF_000717515,5436785,3,5309305,258,GD,1,0,sputum,sputum,sputum,Homo sapiens,USA,2012,"aac(6')-Ib,fosA,aac(6')Ib-cr,blaKPC-2,blaSHV-11,blaOXA-9,blaTEM-1A","IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPR0928
GCF_000722485,5580539,121,203680,11,,0,1,blood,blood,blood,Homo sapiens,Spain,2012,"aac(6')Ib-cr,aac(3)-IIa,aadA2,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxB,oqxA,QnrB1,blaOXA-48,blaSHV-11,blaCTX-M-15,blaOXA-1,catA1,catB3","IncR,IncL/M(pOXA-48),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae,KP_ST11_OXA48
GCF_000733255,5812304,5,5348284,14,GD,1,1,urine,urine,urine,,USA,,"ARR-3,aac(6')Ib-cr,aac(6')Ib-cr,aac(6')-Ib,aadA2,armA,strA,strB,aadA1,aadA1,aph(3')-VIa,aac(3)-IId,fosA,msr(E),mph(E),ere(A),sul1,sul2,sul1,dfrA14,dfrA12,dfrA1,aac(6')Ib-cr,QnrB1,aac(6')Ib-cr,aac(6')Ib-cr,oqxB,oqxA,blaOXA-1,blaOXA-1,blaOXA-232,blaOXA-9,blaTEM-1A,blaSHV-11,blaSHV-28,blaCTX-M-15,blaNDM-1,catB3,catB3,cmlA1","IncR,FIA(pBK30683),ColKP3,IncFIB(Mar),IncHI1B,IncFIB(K)",Klebsiella pneumoniae subsp. pneumoniae,PittNDM01
GCF_000735285,5328299,97,350986,105,,1,1,urine,urine,urine,Homo sapiens,USA,,"fosA,oqxB,oqxA,blaSHV-1","IncFII,IncR",Klebsiella pneumoniae,IA565
GCF_000738865,5537366,181,105746,258,,1,0,Bronchoscopy,bronchoscopy,other,Homo sapiens,USA,2012,"aph(4)-Ia,aadA1,aacA4,aadA2,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaOXA-9,blaTEM-79,blaSHV-12,blaKPC-2,cmlA1,catA1","IncR,ColRNAI,IncFIB(K),IncFII(K),IncX3",Klebsiella pneumoniae,MRSN8157
GCF_000738875,5543516,184,122964,258,,1,0,wound,wound,other,Homo sapiens,USA,2012,"aph(4)-Ia,aadA1,aacA4,aadA2,aph(3')-Ia,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaOXA-9,blaTEM-79,blaSHV-12,blaKPC-2,catA1,cmlA1","IncR,IncFIB(K),IncFII(K),IncX3,ColRNAI",Klebsiella pneumoniae,MRSN6920
GCF_000739495,5510332,3,5297511,395,,1,0,,,,,,,"ARR-3,aadA1,aac(6')-Ib,strB,strA,aph(3')-VIa,aadA16,aac(6')Ib-cr,fosA,sul2,sul1,sul1,dfrA27,aac(6')Ib-cr,oqxA,oqxB,QnrS1,QnrB6,aac(6')Ib-cr,tet(D),blaTEM-1A,blaOXA-9,blaTEM-1B,blaCTX-M-15,blaNDM-1,blaSHV-11,catA2","IncR,IncFIB(pQil),IncFII(K),FIA(pBK30683)",Klebsiella pneumoniae,blaNDM-1
GCF_000742135,5545784,5,5284261,3,,1,0,,,,,,,"fosA,oqxB,oqxA,blaSHV-1","IncFIA(HI1),IncFIB(K),pSM22,IncFII(pCoo)",Klebsiella pneumoniae,ATCC 13883
GCF_000742755,5374834,1,5374834,493,,1,1,Spontaneous rifampin-resistant isolate,,,,USA,2000,"fosA,oqxB,oqxA,blaSHV-1",,Klebsiella pneumoniae subsp. pneumoniae,ATCC 43816 KPPR1
GCF_000747055,5420754,210,88203,-,,1,1,skin swab,skin swab,other,Homo sapiens,Malaysia,2013,"fosA,oqxA,oqxB,blaSHV-11","IncFII,IncFIB(K)",Klebsiella pneumoniae,325
GCF_000755605,5466797,44,300807,493,,1,1,,,,Homo sapiens,,,"fosA,oqxA,oqxB,blaSHV-1",,Klebsiella pneumoniae,KPPR1
GCF_000763925,5351951,102,172934,147,,1,1,respiratory secretions,respiratory secretion,sputum,Homo sapiens,USA,2014,"aac(6')Ib-cr,strA,strB,armA,fosA,mph(E),msr(E),sul1,dfrA1,aac(6')Ib-cr,oqxA,oqxB,tet(A),blaSHV-11,blaNDM-1,blaOXA-1,catB3","Col(MGD2),IncR,ColRNAI",Klebsiella pneumoniae,CDPH5262
GCF_000763935,5360573,112,206548,147,,1,1,respiratory secretions,respiratory secretion,sputum,Homo sapiens,USA,2014,"aac(6')Ib-cr,strA,strB,armA,fosA,mph(E),msr(E),sul1,dfrA1,aac(6')Ib-cr,oqxA,oqxB,QnrB66,tet(A),blaSHV-11,blaNDM-1,blaOXA-1,catB3","Col(MGD2),IncR,ColRNAI",Klebsiella pneumoniae,CDPH3823
